epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.915,0.54745,2.4555,0.98759,0.8644,0.80157,0.88901,0.81819,0.4089,0.66014,0.85824,0.00332514,0.00332514,0.00332514
2,297.527,0.5558,0.91608,0.96208,0.87103,0.79079,0.88248,0.78573,0.49242,0.66443,0.91196,0.00659256,0.00659256,0.00659256
3,443.033,0.62477,0.91803,0.99661,0.78897,0.72147,0.77988,0.65441,0.58764,0.8643,0.9764,0.00979397,0.00979397,0.00979397
4,588.19,0.68061,0.94033,1.01969,0.72291,0.82526,0.83398,0.70795,0.57242,0.73523,0.96358,0.009703,0.009703,0.009703
5,733.443,0.64218,0.8346,1.00676,0.77916,0.85753,0.88748,0.77952,0.51811,0.64311,0.93349,0.009604,0.009604,0.009604
6,878.605,0.61389,0.74737,0.99815,0.78818,0.86027,0.89925,0.79542,0.49186,0.52932,0.92357,0.009505,0.009505,0.009505
7,1023.61,0.57948,0.68329,0.9774,0.86482,0.88916,0.93043,0.83294,0.47099,0.50885,0.91088,0.009406,0.009406,0.009406
8,1168.83,0.57404,0.64876,0.97241,0.88013,0.94077,0.96432,0.87519,0.45354,0.44245,0.9027,0.009307,0.009307,0.009307
9,1313.89,0.55726,0.61957,0.96759,0.92748,0.93013,0.96573,0.87628,0.44419,0.42119,0.8918,0.009208,0.009208,0.009208
10,1459.01,0.53782,0.5904,0.96076,0.93171,0.90007,0.96832,0.88345,0.4265,0.42149,0.89013,0.009109,0.009109,0.009109
11,1604.08,0.51847,0.55836,0.95334,0.92261,0.9401,0.97937,0.90031,0.41655,0.36609,0.87927,0.00901,0.00901,0.00901
12,1749.08,0.50541,0.53686,0.94283,0.91742,0.97921,0.98511,0.90518,0.40304,0.36135,0.86991,0.008911,0.008911,0.008911
13,1894.03,0.50251,0.53759,0.93951,0.97191,0.8909,0.98461,0.91666,0.39566,0.3414,0.86731,0.008812,0.008812,0.008812
14,2039.14,0.49805,0.50671,0.944,0.89259,0.98456,0.976,0.9132,0.38503,0.32026,0.86025,0.008713,0.008713,0.008713
