epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9739.53,0.37021,0.30582,0.89261,0.98033,0.99819,0.99348,0.95628,0.29634,0.19346,0.84027,0.005842,0.005842,0.005842
44,9965.33,0.36647,0.30379,0.89344,0.97252,0.99595,0.99406,0.95963,0.28637,0.19108,0.83264,0.005743,0.005743,0.005743
45,10189.2,0.35864,0.28607,0.89039,0.98135,0.99771,0.995,0.96162,0.28263,0.1837,0.82546,0.005644,0.005644,0.005644
46,10413.8,0.35807,0.29043,0.88913,0.98113,0.99594,0.99301,0.95953,0.29595,0.19047,0.83878,0.005545,0.005545,0.005545
47,10638.6,0.35854,0.29561,0.88543,0.97479,0.99879,0.99379,0.964,0.28353,0.18885,0.81838,0.005446,0.005446,0.005446
48,10863.2,0.34979,0.28568,0.88499,0.98429,0.99755,0.99491,0.96322,0.284,0.178,0.82842,0.005347,0.005347,0.005347
49,11087.6,0.34647,0.27464,0.88333,0.98074,0.99626,0.995,0.96526,0.28581,0.18158,0.82863,0.005248,0.005248,0.005248
50,11311.1,0.35017,0.27854,0.88694,0.98677,0.99461,0.995,0.96312,0.28302,0.17534,0.82749,0.005149,0.005149,0.005149
51,11534.9,0.34363,0.27379,0.88548,0.98473,0.99887,0.99492,0.96187,0.27971,0.17196,0.82553,0.00505,0.00505,0.00505
52,11759.2,0.34626,0.27793,0.88294,0.98704,0.99726,0.99492,0.96444,0.28294,0.17147,0.82525,0.004951,0.004951,0.004951
53,11983.6,0.34686,0.27094,0.87994,0.98377,0.99777,0.99499,0.9638,0.28204,0.17824,0.82325,0.004852,0.004852,0.004852
54,12208.2,0.34376,0.26927,0.87911,0.98484,0.99904,0.99426,0.96352,0.27561,0.16702,0.8213,0.004753,0.004753,0.004753
55,12432.8,0.34616,0.27006,0.88482,0.98304,0.99719,0.99474,0.96412,0.27771,0.16995,0.82641,0.004654,0.004654,0.004654
56,12656.9,0.33705,0.26834,0.87763,0.98049,0.99849,0.995,0.96532,0.27057,0.165,0.82171,0.004555,0.004555,0.004555
57,12882.9,0.33593,0.25996,0.87733,0.98591,0.99803,0.99462,0.9635,0.28221,0.16643,0.83046,0.004456,0.004456,0.004456
58,13108.9,0.32513,0.25237,0.87307,0.98685,0.99897,0.995,0.96351,0.2764,0.15974,0.82562,0.004357,0.004357,0.004357
59,13334.3,0.33185,0.25902,0.87811,0.98739,0.99928,0.995,0.96613,0.26807,0.15835,0.81883,0.004258,0.004258,0.004258
60,13559.1,0.33011,0.25802,0.87589,0.98656,0.99895,0.99491,0.96404,0.27002,0.15996,0.82046,0.004159,0.004159,0.004159
61,13783.8,0.33172,0.25525,0.88178,0.98483,0.99905,0.99484,0.96316,0.27267,0.16019,0.82393,0.00406,0.00406,0.00406
62,14008.3,0.32463,0.25319,0.87829,0.98555,0.99796,0.99412,0.96428,0.27159,0.15875,0.82304,0.003961,0.003961,0.003961
63,14233.1,0.32146,0.24465,0.87514,0.98753,1,0.995,0.96385,0.2716,0.15486,0.8213,0.003862,0.003862,0.003862
64,14458,0.32343,0.24749,0.87103,0.98503,0.99888,0.995,0.96664,0.26891,0.15292,0.81829,0.003763,0.003763,0.003763
65,14682.1,0.31671,0.24381,0.87181,0.98237,0.99683,0.995,0.96724,0.26755,0.15269,0.81814,0.003664,0.003664,0.003664
66,14905.9,0.31864,0.23995,0.87017,0.98665,0.99898,0.995,0.96555,0.26616,0.1553,0.81796,0.003565,0.003565,0.003565
67,15130.5,0.31318,0.23762,0.87165,0.98752,0.99694,0.995,0.96766,0.2652,0.14967,0.81911,0.003466,0.003466,0.003466
68,15354.8,0.3191,0.23764,0.87221,0.98514,0.99916,0.995,0.96839,0.26251,0.14947,0.81354,0.003367,0.003367,0.003367
69,15578.8,0.31612,0.23655,0.87242,0.98428,0.99928,0.99499,0.96525,0.26259,0.14925,0.81655,0.003268,0.003268,0.003268
70,15804,0.31002,0.23141,0.86964,0.98518,1,0.995,0.968,0.26017,0.14759,0.81217,0.003169,0.003169,0.003169
71,16027.9,0.30495,0.22655,0.86411,0.98536,0.99969,0.99499,0.96706,0.26144,0.14932,0.81064,0.00307,0.00307,0.00307
72,16252.3,0.30794,0.22802,0.86753,0.98407,0.9979,0.9946,0.96672,0.26322,0.14694,0.81566,0.002971,0.002971,0.002971
73,16476.4,0.30206,0.22341,0.86338,0.98667,0.99967,0.995,0.96875,0.25824,0.14611,0.80909,0.002872,0.002872,0.002872
74,16701.7,0.3032,0.22054,0.86388,0.9874,0.99868,0.995,0.96837,0.25807,0.14383,0.80794,0.002773,0.002773,0.002773
75,16926.6,0.30191,0.22157,0.8659,0.98636,0.99952,0.995,0.96695,0.25769,0.14589,0.81076,0.002674,0.002674,0.002674
76,17150.5,0.30435,0.22635,0.86661,0.98156,0.99946,0.99149,0.96541,0.25806,0.14362,0.8118,0.002575,0.002575,0.002575
77,17374.3,0.29824,0.21774,0.86342,0.98262,1,0.99474,0.96772,0.25702,0.14101,0.81435,0.002476,0.002476,0.002476
78,17599.2,0.29673,0.2158,0.86031,0.98596,0.99732,0.995,0.96884,0.25873,0.14048,0.81436,0.002377,0.002377,0.002377
79,17824.3,0.29214,0.21183,0.86215,0.98695,0.99948,0.995,0.96998,0.25731,0.13867,0.81135,0.002278,0.002278,0.002278
80,18048.7,0.28912,0.21128,0.86166,0.98544,0.99814,0.995,0.9709,0.25374,0.13504,0.80893,0.002179,0.002179,0.002179
81,18274.1,0.29713,0.21547,0.86486,0.98716,0.99846,0.995,0.96994,0.25393,0.13516,0.80857,0.00208,0.00208,0.00208
82,18499,0.2885,0.2066,0.86364,0.9858,0.99938,0.995,0.96916,0.25424,0.13429,0.80812,0.001981,0.001981,0.001981
83,18724.6,0.288,0.20537,0.85998,0.98521,0.99905,0.995,0.97044,0.25248,0.1361,0.80679,0.001882,0.001882,0.001882
84,18949.4,0.28273,0.20265,0.85931,0.98411,0.99871,0.995,0.97118,0.25157,0.13526,0.80798,0.001783,0.001783,0.001783
85,19175.8,0.28254,0.20296,0.85773,0.98584,0.99864,0.995,0.97081,0.25201,0.13549,0.80909,0.001684,0.001684,0.001684
86,19399.4,0.28418,0.20293,0.8599,0.98579,0.9986,0.995,0.97124,0.25202,0.13426,0.8093,0.001585,0.001585,0.001585
87,19625.6,0.28091,0.19716,0.8585,0.9873,0.99808,0.995,0.97039,0.25066,0.1312,0.80759,0.001486,0.001486,0.001486
88,19851.3,0.27625,0.19617,0.85642,0.98606,0.99886,0.995,0.97117,0.24952,0.13099,0.80563,0.001387,0.001387,0.001387
89,20076.9,0.27397,0.19459,0.85457,0.98628,0.99814,0.995,0.97149,0.25006,0.13215,0.80568,0.001288,0.001288,0.001288
90,20302.3,0.27441,0.19293,0.85557,0.9869,0.99783,0.995,0.97111,0.25052,0.13172,0.80634,0.001189,0.001189,0.001189
91,20521.3,0.23482,0.14088,0.80572,0.9876,0.99829,0.995,0.97013,0.24952,0.13267,0.80433,0.00109,0.00109,0.00109
92,20739.7,0.23279,0.13885,0.80618,0.98932,0.99742,0.995,0.97097,0.24871,0.13199,0.80372,0.000991,0.000991,0.000991
93,20957.4,0.23111,0.13628,0.80484,0.98957,0.99779,0.995,0.97163,0.24636,0.1295,0.80315,0.000892,0.000892,0.000892
94,21175.9,0.22706,0.13327,0.80543,0.98946,0.99789,0.995,0.97157,0.24639,0.13035,0.80283,0.000793,0.000793,0.000793
95,21394.5,0.22548,0.13036,0.80487,0.98974,0.99807,0.995,0.97185,0.24515,0.12829,0.80276,0.000694,0.000694,0.000694
96,21613.7,0.22508,0.13047,0.80423,0.98978,0.9983,0.995,0.97175,0.24382,0.12662,0.80203,0.000595,0.000595,0.000595
97,21831.9,0.22128,0.12627,0.80421,0.99027,0.99842,0.995,0.97278,0.24284,0.12691,0.80176,0.000496,0.000496,0.000496
98,22048.9,0.22057,0.1272,0.80415,0.99139,0.9988,0.995,0.97296,0.24312,0.12607,0.80224,0.000397,0.000397,0.000397
99,22266.8,0.21738,0.12319,0.80549,0.9912,0.99866,0.995,0.97263,0.24203,0.12536,0.80117,0.000298,0.000298,0.000298
100,22483.9,0.21781,0.12037,0.80242,0.99001,0.99888,0.995,0.97255,0.24155,0.12493,0.801,0.000199,0.000199,0.000199
