               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.014833,           0.0042744,           0.0037539,               0.979,             0.99787,             0.99371,             0.92204,           0.0087337,           0.0017221,           0.0013998,            0.006535,            0.006535,            0.006535
                  37,            0.014702,           0.0042739,           0.0032872,             0.98818,             0.99607,             0.99423,             0.91861,           0.0086588,            0.001732,           0.0013512,            0.006436,            0.006436,            0.006436
                  38,            0.014406,           0.0042135,           0.0033243,             0.97829,             0.99448,             0.99221,             0.91344,           0.0084693,           0.0016579,           0.0016882,            0.006337,            0.006337,            0.006337
                  39,            0.014298,           0.0042286,           0.0033342,             0.98757,             0.99539,             0.99498,             0.93638,           0.0086016,           0.0017157,           0.0012968,            0.006238,            0.006238,            0.006238
                  40,              0.0144,           0.0042359,            0.003288,             0.98822,             0.99314,             0.99261,             0.93157,           0.0085882,           0.0016749,           0.0013734,            0.006139,            0.006139,            0.006139
                  41,            0.014035,           0.0041495,           0.0032999,             0.98615,             0.99195,             0.99449,             0.92578,           0.0084552,           0.0016671,           0.0012101,             0.00604,             0.00604,             0.00604
                  42,            0.013694,           0.0041735,           0.0030914,             0.98767,             0.99502,             0.99273,             0.93554,           0.0082438,           0.0016707,           0.0011082,            0.005941,            0.005941,            0.005941
                  43,            0.013832,           0.0041751,            0.003224,             0.98999,             0.99648,             0.99485,             0.93198,           0.0080412,           0.0016301,           0.0011607,            0.005842,            0.005842,            0.005842
                  44,            0.013603,           0.0040393,           0.0028684,             0.98731,             0.99764,             0.99486,             0.92292,           0.0081546,           0.0016188,           0.0010556,            0.005743,            0.005743,            0.005743
                  45,            0.013493,           0.0040261,           0.0031677,             0.98739,             0.99683,             0.99488,             0.94006,           0.0079364,           0.0016201,           0.0010599,            0.005644,            0.005644,            0.005644
                  46,            0.013355,           0.0039958,           0.0026393,             0.98793,             0.99637,             0.99497,             0.93359,           0.0080579,           0.0016606,           0.0010173,            0.005545,            0.005545,            0.005545
                  47,             0.01325,           0.0039803,           0.0029369,             0.98712,             0.99748,             0.99474,             0.93909,           0.0076005,           0.0015876,           0.0011105,            0.005446,            0.005446,            0.005446
                  48,            0.013112,           0.0039648,           0.0028715,              0.9887,             0.99192,             0.99427,              0.9434,           0.0076029,           0.0016323,           0.0010409,            0.005347,            0.005347,            0.005347
                  49,            0.012804,           0.0039873,           0.0026834,             0.99222,             0.99967,             0.99489,             0.94336,           0.0076339,           0.0015845,          0.00092928,            0.005248,            0.005248,            0.005248
                  50,            0.012899,           0.0039735,           0.0026106,             0.98903,              0.9942,             0.99483,             0.94575,            0.007652,           0.0015874,          0.00093626,            0.005149,            0.005149,            0.005149
                  51,            0.012489,           0.0038123,           0.0025967,             0.99199,             0.99844,             0.99492,             0.94639,           0.0074673,           0.0015881,          0.00084575,             0.00505,             0.00505,             0.00505
                  52,            0.012589,           0.0038181,            0.002517,             0.99043,             0.99802,             0.99482,             0.94865,           0.0072483,           0.0015525,          0.00084917,            0.004951,            0.004951,            0.004951
                  53,            0.012291,           0.0037757,           0.0022727,              0.9894,             0.99901,             0.99454,              0.9411,           0.0074103,           0.0015809,          0.00081307,            0.004852,            0.004852,            0.004852
                  54,            0.012319,           0.0037915,           0.0025064,             0.99246,             0.99947,             0.99461,             0.94826,           0.0072143,           0.0015463,          0.00078662,            0.004753,            0.004753,            0.004753
                  55,            0.012183,           0.0037776,           0.0023331,             0.98943,             0.99646,             0.99456,             0.95136,           0.0072343,           0.0015089,          0.00079851,            0.004654,            0.004654,            0.004654
                  56,            0.012261,           0.0037639,           0.0023386,             0.99003,             0.99945,             0.99482,             0.95521,           0.0069576,           0.0015289,          0.00075855,            0.004555,            0.004555,            0.004555
                  57,            0.011849,            0.003682,           0.0022658,             0.99034,              0.9983,             0.99496,             0.94973,           0.0069931,           0.0015235,          0.00074928,            0.004456,            0.004456,            0.004456
                  58,            0.011769,           0.0036606,           0.0021965,             0.99143,             0.99853,             0.99496,             0.95056,           0.0071093,           0.0015052,          0.00069257,            0.004357,            0.004357,            0.004357
                  59,            0.011938,           0.0036952,           0.0021389,             0.99096,             0.99962,             0.99496,             0.95364,            0.006943,           0.0014924,          0.00068383,            0.004258,            0.004258,            0.004258
                  60,            0.011632,           0.0036408,           0.0021357,             0.99068,             0.99913,             0.99496,             0.95214,            0.006848,           0.0014998,          0.00064529,            0.004159,            0.004159,            0.004159
                  61,            0.011525,           0.0036215,           0.0020474,             0.99028,             0.99877,             0.99498,             0.95432,           0.0067427,           0.0014939,          0.00064599,             0.00406,             0.00406,             0.00406
                  62,            0.011374,           0.0035248,           0.0018589,             0.99261,             0.99928,             0.99496,             0.95638,           0.0067913,           0.0014714,           0.0005705,            0.003961,            0.003961,            0.003961
                  63,            0.011302,            0.003541,           0.0018699,             0.99191,             0.99985,             0.99499,             0.95447,           0.0066874,           0.0014611,          0.00055949,            0.003862,            0.003862,            0.003862
                  64,            0.011212,           0.0035151,           0.0020615,             0.97912,             0.99954,             0.99499,             0.95437,           0.0067137,           0.0014921,          0.00057234,            0.003763,            0.003763,            0.003763
                  65,            0.011013,           0.0035034,           0.0019067,             0.99145,             0.99798,             0.99496,             0.95547,           0.0066366,           0.0014585,          0.00051492,            0.003664,            0.003664,            0.003664
                  66,             0.01076,           0.0034727,           0.0020393,             0.99166,             0.99946,             0.99494,             0.95793,           0.0065352,           0.0014563,          0.00050499,            0.003565,            0.003565,            0.003565
                  67,            0.010739,           0.0034044,           0.0017747,             0.99121,             0.99883,             0.99497,             0.95754,           0.0064662,           0.0014276,          0.00052706,            0.003466,            0.003466,            0.003466
                  68,            0.010534,           0.0033781,           0.0017214,             0.99146,             0.99933,             0.99497,             0.95954,           0.0063767,           0.0014082,          0.00047952,            0.003367,            0.003367,            0.003367
                  69,            0.010466,           0.0033706,           0.0017304,             0.99135,             0.99967,             0.99497,             0.95986,            0.006374,           0.0014261,           0.0004636,            0.003268,            0.003268,            0.003268
                  70,             0.01042,           0.0033883,           0.0016406,             0.99161,             0.99996,             0.99495,             0.95927,           0.0063237,           0.0014218,          0.00043024,            0.003169,            0.003169,            0.003169
                  71,            0.010144,           0.0033496,           0.0016932,             0.99223,             0.99975,             0.99498,              0.9604,           0.0063139,           0.0013999,          0.00041755,             0.00307,             0.00307,             0.00307
                  72,            0.010105,           0.0032989,           0.0016256,             0.99306,             0.99925,             0.99499,             0.96177,           0.0062874,           0.0014182,          0.00040811,            0.002971,            0.002971,            0.002971
                  73,            0.010019,           0.0032937,           0.0015499,              0.9928,             0.99968,               0.995,             0.96198,           0.0062656,           0.0014078,          0.00035971,            0.002872,            0.002872,            0.002872
                  74,           0.0098251,           0.0032475,           0.0016093,             0.99241,              0.9993,             0.99499,             0.96257,           0.0062407,           0.0014269,          0.00035946,            0.002773,            0.002773,            0.002773
                  75,           0.0098567,           0.0033195,           0.0015901,             0.99159,              0.9981,             0.99499,             0.96186,           0.0062095,           0.0014032,          0.00033778,            0.002674,            0.002674,            0.002674
                  76,            0.009728,           0.0032218,           0.0014547,             0.99261,             0.99918,               0.995,             0.96298,            0.006225,           0.0013986,          0.00031791,            0.002575,            0.002575,            0.002575
                  77,           0.0095521,           0.0031757,           0.0013421,             0.99375,             0.99965,               0.995,             0.96153,           0.0062365,           0.0014249,          0.00030299,            0.002476,            0.002476,            0.002476
                  78,           0.0093034,           0.0031842,           0.0013124,             0.99347,             0.99834,               0.995,             0.95931,           0.0062197,           0.0014201,          0.00028443,            0.002377,            0.002377,            0.002377
                  79,           0.0092418,           0.0031848,           0.0013282,             0.99385,             0.99823,               0.995,              0.9603,           0.0062142,           0.0014074,          0.00026877,            0.002278,            0.002278,            0.002278
                  80,           0.0090968,           0.0031763,           0.0015438,              0.9929,             0.99844,               0.995,             0.96289,           0.0061571,           0.0013822,          0.00026188,            0.002179,            0.002179,            0.002179
                  81,           0.0089832,             0.00309,           0.0012627,             0.99357,              0.9995,               0.995,             0.96123,           0.0060722,           0.0013743,          0.00023855,             0.00208,             0.00208,             0.00208
                  82,           0.0088767,            0.003126,           0.0012759,             0.99302,             0.99959,               0.995,             0.96569,           0.0060486,           0.0013607,          0.00023429,            0.001981,            0.001981,            0.001981
                  83,           0.0087318,           0.0030136,           0.0012739,             0.99236,             0.99814,               0.995,             0.96368,           0.0059755,           0.0013736,           0.0002287,            0.001882,            0.001882,            0.001882
